company_id,user_id,timestamp_utc,ip_address,device_id,os,browser,login_success,asn,ip_reputation,ip_vpn_tor,num_distinct_devices_last30d,failed_attempts_last_10m,hours_since_prev_login,distance_from_prev_login_km,speed_kmh,dist_from_user_login,prediction,risk_score,reasons
instabook,user0050,2025-08-04 18:11:00,106.246.96.133,89eea12e-553d-4548-99c3-ac13da8230ed,Android,Firefox,0,AS174,2,0,6,1,3.71,0.846,0.22,10.271,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0057,2025-08-10 08:28:00,115.114.23.253,202e2b3b-0225-44c6-b4dd-6ad2c0a8d4be,iOS,Safari,0,AS174,1,0,1,3,34.46,22.816,0.66,25.448,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0080,2025-08-27 10:31:00,182.69.217.207,9b862a5d-2181-46b4-9875-fa4ef110218f,macOS,Edge,1,AS3356,2,0,2,0,47.79,0.03,0.0,49.375,0,25,Suspicious IP / VPN detected
facegram,user0336,2025-08-13 21:46:00,49.50.93.205,a5b4c80b-d427-4e9c-816c-d2911bd92010,Windows 11,Chrome,0,AS3356,1,0,6,3,1.1,17.958,14.96,29.865,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0375,2025-08-07 20:59:00,49.47.182.15,3bcac1b2-f14c-4039-a342-55d5d156e99f,macOS,Edge,1,AS174,0,0,3,0,3.46,26.036,7.31,35.161,0,0,Normal: baseline behaviour (risk 0)
instabook,user0083,2025-08-18 04:38:00,106.212.219.116,f1e38aeb-592a-4f19-85b4-04539d4428ae,Android,Safari,0,AS9498,1,0,1,3,12.03,20.971,1.73,24.174,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
facegram,user0328,2025-08-20 10:21:00,182.74.20.107,6da426a3-04f9-4cd8-b7c0-f87bff511e58,macOS,Edge,0,AS55836,2,0,4,2,39.54,28.262,0.71,28.409,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0173,2025-08-05 19:22:00,115.101.38.127,09813b3d-ea52-46c9-aa48-ea5da8f77455,Android,Chrome,0,AS9498,1,0,4,0,5.53,12.852,2.28,9.712,0,25,Suspicious IP / VPN detected
facegram,user0025,2025-08-30 06:52:00,49.44.54.182,edfd91ba-cf23-4164-9364-c50b11b0fd93,iOS,Firefox,1,AS3356,1,0,5,0,42.61,45.456,1.06,38.954,0,25,Suspicious IP / VPN detected
instabook,user0155,2025-08-07 05:22:00,182.78.7.173,a32f5d64-e62f-424a-91bc-a4c5c9c81579,Android,Safari,0,AS55836,1,0,5,3,29.84,38.379,1.28,16.827,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0088,2025-08-11 17:20:00,117.207.138.149,82b559c8-17a6-432b-8e7a-0f0baa762cad,Android,Chrome,0,AS3356,1,0,4,3,33.97,45.595,1.34,49.082,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0252,2025-08-18 19:57:00,117.233.203.80,bd3b89d7-58e4-41de-a2d5-0748bbf5ee10,Linux,Firefox,0,AS9498,2,0,6,3,4.79,0.023,0.0,26.888,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0025,2025-08-09 21:37:00,117.220.167.179,76bb938c-103d-47d8-9672-a64f3c7528ee,Windows 10,Firefox,0,AS55836,0,0,6,1,24.0,39.483,1.64,12.521,0,45,Multiple devices detected; Sudden OS/Browser change during failed attempts
instabook,user0253,2025-08-01 17:40:00,117.202.137.13,b8d1e42d-b338-421b-987e-ab8dc53d24d8,Windows 10,Chrome,0,AS13335,2,0,4,1,16.62,10.633,0.64,46.505,0,25,Suspicious IP / VPN detected
instabook,user0099,2025-08-10 23:26:00,182.76.215.89,b9d1acb5-81df-4da2-babc-9fb5e7f28e0b,Windows 10,Firefox,1,AS55836,1,0,1,0,36.93,12.303,0.33,0.015,0,30,Suspicious IP / VPN detected; Unusual login time
instabook,user0025,2025-08-19 10:16:00,106.201.224.249,ccbd58f6-b31d-4bcb-9e34-3ecaa90c2234,macOS,Firefox,0,AS13335,0,0,3,2,27.15,5.091,0.19,14.241,0,25,Sudden OS/Browser change during failed attempts
instabook,user0247,2025-08-01 05:56:00,117.253.118.236,26edc263-3da2-437b-ac11-6edce990c8a5,Windows 10,Edge,0,AS55836,0,0,3,2,25.71,40.567,1.57,4.318,0,5,Unusual login time
instabook,user0123,2025-08-08 15:48:00,115.125.224.192,adf2be03-99a4-444a-8f83-14e9a40628c9,iOS,Edge,0,AS55836,1,0,4,3,37.84,43.518,1.15,12.591,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0337,2025-08-07 00:18:00,115.115.95.203,ffcc6470-f8ca-49c8-bd56-f08f63ea8988,macOS,Safari,1,AS13335,1,0,6,0,26.41,31.116,1.17,32.39,0,50,Multiple devices detected; Suspicious IP / VPN detected; Unusual login time
instabook,user0315,2025-08-19 21:08:00,115.109.20.139,a427b12a-148c-4ad8-a689-3ca6d7c6a98a,Linux,Safari,1,AS55836,1,0,4,0,33.08,36.744,1.11,18.597,0,25,Suspicious IP / VPN detected
instabook,user0223,2025-08-19 09:22:00,115.124.36.165,57d42425-a43a-4683-a99c-a786e8c764d4,Windows 10,Edge,0,AS9498,0,0,4,3,46.93,40.495,0.86,3.595,0,25,Sudden OS/Browser change during failed attempts
facegram,user0366,2025-08-13 02:17:00,106.211.208.187,663bb818-fbca-4a00-b7a8-a265ca64cec6,Android,Edge,0,AS3356,0,0,2,2,34.42,9.763,0.28,35.946,0,30,Unusual login time; Sudden OS/Browser change during failed attempts
facegram,user0386,2025-08-20 19:28:00,106.202.11.100,aae31967-db63-4482-81e1-cecc17c03ae1,Android,Firefox,0,AS3356,0,0,2,1,22.05,29.219,1.32,23.239,0,25,Sudden OS/Browser change during failed attempts
facegram,user0125,2025-08-20 22:53:00,117.220.79.121,4bebedf0-725d-481a-8962-0a6a1960aeea,Linux,Edge,0,AS9498,2,0,2,2,33.36,25.634,0.77,35.124,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0293,2025-08-10 21:17:00,49.35.112.61,5126f055-2546-4580-a599-b3f8aa1c1684,Android,Safari,0,AS174,2,0,2,2,12.69,34.946,2.73,3.643,0,25,Suspicious IP / VPN detected
facegram,user0083,2025-08-11 01:05:00,115.106.45.120,f3c0186f-2901-44e5-b13b-cf180926b6a8,Android,Safari,0,AS174,2,0,3,3,33.64,49.502,1.47,5.99,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0450,2025-08-13 16:41:00,106.230.124.193,3623c85a-b767-48b8-ba9e-f6f9efa625a1,iOS,Safari,0,AS55836,2,0,5,2,6.36,27.706,4.29,46.812,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0419,2025-08-22 23:08:00,182.71.160.190,b5c68df2-f05f-411d-bfab-1a8f18bf1674,Windows 10,Chrome,0,AS13335,2,0,1,1,5.55,22.477,3.98,17.681,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0452,2025-08-22 15:22:00,117.204.250.11,8d1ed52e-dbdc-4ca1-afd5-a8ed681fb7c5,macOS,Edge,0,AS13335,2,0,2,3,15.43,8.665,0.56,23.097,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0061,2025-08-03 06:31:00,117.195.0.251,797806c9-0e27-4d7f-b828-44c3994a7ff1,Android,Chrome,0,AS55836,2,0,4,1,13.05,40.757,3.1,35.872,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0009,2025-08-19 19:52:00,117.245.210.113,36a06980-f55a-4b16-b22f-6d0a4e4fc790,Windows 10,Firefox,0,AS13335,0,0,4,3,32.16,22.565,0.7,2.828,0,25,Sudden OS/Browser change during failed attempts
facegram,user0251,2025-08-17 01:23:00,49.54.90.76,a5364d36-34b7-4441-b154-9675acddc2cf,Android,Edge,0,AS9498,2,0,3,3,32.0,13.296,0.41,21.644,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0211,2025-08-09 18:03:00,115.96.96.48,abcbd9d4-3b66-405f-9c06-490268e7fd62,macOS,Edge,0,AS3356,2,0,4,2,41.45,4.878,0.12,22.336,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0203,2025-08-18 06:27:00,117.248.4.171,38809f1c-0a2a-4f7f-9a83-37b4d778675b,Linux,Edge,1,AS174,0,0,2,0,12.97,19.57,1.5,46.357,0,0,Normal: baseline behaviour (risk 0)
instabook,user0406,2025-08-30 00:59:00,106.196.156.159,2b933bc8-ac06-47a5-81cf-e9b0560e2c80,iOS,Firefox,0,AS174,2,0,4,1,37.6,43.164,1.14,45.328,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0072,2025-08-13 22:26:00,117.196.152.21,68ce1f96-d935-4567-9355-8a9aa1d6ad14,macOS,Chrome,0,AS55836,0,0,1,3,8.96,39.521,4.36,35.862,0,25,Sudden OS/Browser change during failed attempts
instabook,user0184,2025-08-04 01:44:00,115.109.146.66,5c41c12a-61b3-4164-9503-d59bc8eb93fc,Android,Firefox,1,AS13335,2,0,5,0,35.03,17.801,0.51,18.221,0,30,Suspicious IP / VPN detected; Unusual login time
facegram,user0040,2025-08-29 08:54:00,115.123.109.6,6f131be9-c8d6-4ec3-bf1e-43c4f0d5b869,macOS,Safari,0,AS9498,2,0,4,1,22.27,28.317,1.27,47.984,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0201,2025-08-06 01:11:00,49.46.25.57,4446aae4-7c3a-4581-b093-ef693439a539,iOS,Chrome,0,AS3356,2,0,1,3,36.27,45.974,1.26,1.24,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0325,2025-08-05 00:11:00,49.48.147.96,73a20549-070b-4d99-8ccc-a551622f538d,macOS,Firefox,1,AS55836,2,0,6,0,14.56,48.626,3.32,15.018,0,50,Multiple devices detected; Suspicious IP / VPN detected; Unusual login time
facegram,user0305,2025-08-29 09:10:00,49.37.117.193,3c8d608e-4835-40d3-b2c2-6a125b4b776f,Linux,Firefox,0,AS13335,1,0,1,3,19.39,30.813,1.58,29.819,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0301,2025-08-23 07:38:00,117.207.183.4,2df10ecf-893f-4133-bfda-35c931ebb6eb,Windows 11,Safari,0,AS13335,2,0,1,1,47.26,39.873,0.84,36.772,0,25,Suspicious IP / VPN detected
facegram,user0146,2025-08-11 06:36:00,49.56.178.174,1a518d65-246f-4254-b78c-21b4e208780e,iOS,Edge,0,AS13335,1,0,6,2,10.46,4.869,0.46,25.79,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0171,2025-08-07 13:44:00,182.79.160.193,f00a7e2c-7743-4384-8b6b-fa6b2991ffcd,iOS,Edge,0,AS55836,0,0,3,1,30.73,47.877,1.55,15.118,0,25,Sudden OS/Browser change during failed attempts
facegram,user0071,2025-08-11 02:47:00,117.255.15.218,dc233b71-2834-4445-ab3e-9433b5a6236f,Android,Edge,1,AS3356,2,0,5,0,27.88,34.728,1.24,9.995,0,30,Suspicious IP / VPN detected; Unusual login time
instabook,user0193,2025-08-15 18:14:00,106.223.79.66,f025f7e2-5f6e-4746-8379-8d0e346cf5ae,macOS,Chrome,0,AS55836,0,0,6,1,35.03,22.083,0.63,37.902,0,45,Multiple devices detected; Sudden OS/Browser change during failed attempts
instabook,user0128,2025-08-07 10:55:00,49.51.99.62,c8649b89-869e-47e3-b913-b32010e27612,Windows 11,Firefox,0,AS13335,1,0,3,1,24.4,7.663,0.31,4.889,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0208,2025-08-13 18:43:00,182.66.196.105,5c581b92-2aec-4053-821c-3b74ad887a29,Linux,Edge,0,AS13335,1,0,6,1,42.58,26.2,0.61,2.541,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0256,2025-08-15 03:31:00,115.103.94.228,38261cf1-3f84-4e34-9e2e-4cc1ec1fbdc5,Windows 11,Firefox,0,AS55836,0,0,4,2,28.12,24.264,0.86,24.844,0,30,Unusual login time; Sudden OS/Browser change during failed attempts
facegram,user0317,2025-08-27 13:00:00,115.113.17.75,c6f2c559-4583-4333-ac6c-abb91258eb1b,Windows 10,Edge,0,AS3356,1,0,6,1,45.1,31.685,0.7,31.556,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0006,2025-08-26 23:02:00,117.198.232.247,9895791b-f562-4147-abe3-8c5958b0c009,iOS,Chrome,1,AS13335,0,0,5,0,37.02,2.199,0.06,4.681,0,5,Unusual login time
facegram,user0266,2025-08-15 18:53:00,49.44.172.97,c942a937-fb5c-4219-9079-de6e31eabe4c,Android,Edge,0,AS174,2,0,4,2,25.97,3.987,0.15,37.161,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0112,2025-08-23 01:10:00,115.120.180.14,248e363a-0396-4cff-8b91-ac98d7b571d0,Android,Firefox,0,AS9498,0,0,6,1,14.25,4.494,0.31,3.115,0,50,Multiple devices detected; Unusual login time; Sudden OS/Browser change during failed attempts
facegram,user0018,2025-08-19 09:27:00,106.231.89.38,6f8b6bc8-a259-4e8a-864a-3405e1c8ee3c,Android,Firefox,0,AS55836,0,0,1,1,35.06,16.53,0.47,22.398,0,25,Sudden OS/Browser change during failed attempts
facegram,user0053,2025-08-13 08:53:00,49.59.219.72,325dc1f3-7c2e-4970-b796-3f3ea04ecf15,Linux,Edge,0,AS9498,0,0,6,2,42.49,35.486,0.83,20.672,0,45,Multiple devices detected; Sudden OS/Browser change during failed attempts
instabook,user0038,2025-08-28 17:20:00,106.206.53.170,6e0377a1-44e4-43b8-82ac-8aac5bae5417,Windows 10,Chrome,0,AS55836,0,0,2,2,20.54,38.731,1.88,19.931,0,25,Sudden OS/Browser change during failed attempts
facegram,user0199,2025-08-10 08:21:00,49.59.175.148,d3e83dbd-d1ca-4e34-82ef-c7b843071437,Linux,Safari,0,AS13335,1,0,3,3,23.11,29.962,1.29,14.631,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0233,2025-08-05 04:00:00,115.125.97.155,d0287507-0bad-4e36-ba5f-9202ed785695,macOS,Chrome,0,AS55836,2,0,3,3,32.04,29.381,0.91,39.317,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0199,2025-08-07 09:45:00,117.220.156.192,7f977163-227f-4529-82a0-f47368042875,macOS,Firefox,0,AS9498,2,0,5,3,37.66,13.421,0.36,28.157,0,25,Suspicious IP / VPN detected
facegram,user0293,2025-08-23 21:43:00,106.209.207.116,f04e6f7e-ce81-427d-8d2e-54207bce498d,Android,Chrome,0,AS13335,1,0,5,3,6.25,40.343,6.35,3.761,0,25,Suspicious IP / VPN detected
instabook,user0245,2025-08-09 12:16:00,49.44.196.78,7afacbbb-cc98-4e75-b9d4-c304a3728729,Windows 10,Firefox,0,AS13335,0,0,6,2,44.17,48.329,1.09,15.837,0,45,Multiple devices detected; Sudden OS/Browser change during failed attempts
facegram,user0335,2025-08-02 21:04:00,115.124.136.42,f446e00a-b137-4a5e-8eea-821d6820d6e2,Android,Safari,0,AS3356,1,0,3,1,38.42,28.371,0.74,22.891,0,25,Suspicious IP / VPN detected
instabook,user0410,2025-08-25 14:12:00,106.216.18.60,31d89ff4-8600-493a-9cf2-41a42a4c1db9,iOS,Safari,1,AS174,1,0,4,0,16.43,27.261,1.65,23.238,0,25,Suspicious IP / VPN detected
facegram,user0075,2025-08-23 09:01:00,115.100.27.150,65c31da9-9421-4fbc-b526-4de2be3e6ff6,Windows 11,Safari,0,AS13335,2,0,3,3,31.95,22.87,0.71,34.192,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0057,2025-08-24 15:00:00,106.231.229.20,f1368ee1-8809-411a-b859-d8a7396bac82,iOS,Edge,0,AS9498,2,0,6,1,17.48,39.761,2.26,2.945,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0080,2025-08-14 21:00:00,117.211.141.232,0b92ac5d-bce5-4128-b327-903de366aebb,Windows 11,Firefox,0,AS55836,0,0,2,2,14.19,21.667,1.52,12.637,0,25,Sudden OS/Browser change during failed attempts
facegram,user0119,2025-08-04 03:45:00,117.244.15.192,b2a5e802-0f66-4418-b045-87ef1f7b7d50,Windows 10,Firefox,1,AS3356,2,0,4,0,24.79,23.112,0.93,35.462,0,30,Suspicious IP / VPN detected; Unusual login time
instabook,user0283,2025-08-05 17:38:00,106.241.243.97,ac077a4c-f6c5-4c27-9175-7c5a567575f3,Android,Chrome,0,AS55836,1,0,1,1,43.68,1.67,0.04,41.119,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0490,2025-08-17 00:01:00,115.99.189.23,525cb5f8-40f9-447e-b0e0-c4e28c57262f,Linux,Edge,1,AS174,0,0,2,0,1.37,23.4,15.92,13.639,0,5,Unusual login time
facegram,user0201,2025-08-10 11:59:00,182.73.43.227,00d31555-8541-4fa5-9ab7-f1b9153494d9,macOS,Edge,0,AS9498,1,0,2,2,25.81,33.009,1.27,4.506,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0349,2025-08-14 22:33:00,106.192.204.246,30e1cc81-f15a-4a5c-886c-9ed0958ed29d,Linux,Safari,0,AS174,0,0,4,3,24.35,17.829,0.73,26.453,0,25,Sudden OS/Browser change during failed attempts
facegram,user0306,2025-08-07 20:48:00,106.242.85.177,22b207ea-1c5f-4202-903b-e2ada5ceabeb,iOS,Safari,1,AS174,2,0,2,0,21.14,4.593,0.22,32.097,0,25,Suspicious IP / VPN detected
facegram,user0060,2025-08-13 18:31:00,115.96.157.37,66e7745a-fea9-4083-9663-c0c57df63c44,iOS,Firefox,1,AS174,1,0,1,0,38.93,9.884,0.25,41.366,0,25,Suspicious IP / VPN detected
facegram,user0310,2025-08-18 07:03:00,115.106.47.71,b9c456e1-11d8-444f-9207-44018b92b271,Linux,Firefox,0,AS13335,1,0,6,3,17.44,47.951,2.73,18.261,1,70,Multiple devices detected; Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0229,2025-08-10 14:21:00,182.64.172.249,d15a5bb0-00dd-4aac-9d01-8b63e3e30859,Windows 11,Firefox,0,AS13335,2,0,4,1,10.5,26.017,2.45,42.296,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0407,2025-08-26 22:18:00,49.39.117.233,d1592a2d-2102-4a49-b6f1-d69c1af0cb91,iOS,Firefox,0,AS9498,1,0,5,1,2.61,37.677,13.9,21.586,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0023,2025-08-08 23:52:00,49.34.70.190,f5b63c66-6132-44b8-af8a-7a9b74246986,macOS,Edge,0,AS174,2,0,6,2,7.14,30.972,4.28,30.088,1,75,Multiple devices detected; Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0427,2025-08-13 03:42:00,117.232.69.201,98276a51-a276-4be4-95c6-187be64f2730,iOS,Edge,1,AS174,2,0,2,0,16.42,25.959,1.57,36.718,0,30,Suspicious IP / VPN detected; Unusual login time
facegram,user0338,2025-08-05 23:15:00,106.198.197.206,27cc8881-4309-4f6b-9f56-030338ba461b,Linux,Safari,0,AS3356,0,0,7,6,3.48,1861.153,519.88,2723.925,1,70,Multiple devices detected; Multiple failed login attempts; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0019,2025-08-13 20:28:00,106.236.232.10,38c0e88b-6905-4e04-b270-7533a846ef54,iOS,Safari,0,AS3356,1,0,4,3,27.18,41.92,1.54,45.886,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0172,2025-08-23 23:45:00,117.209.163.70,ec8010c6-15ae-4ce7-a209-1ec6a37d6c7c,Android,Edge,1,AS13335,1,0,5,0,23.09,3.022,0.13,9.813,0,30,Suspicious IP / VPN detected; Unusual login time
instabook,user0394,2025-08-09 21:00:00,49.61.128.155,91923f38-7bbb-4a4e-bcb0-270ca432e4b4,Android,Safari,0,AS3356,1,0,5,3,42.31,38.27,0.9,23.899,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0446,2025-08-10 22:05:00,49.53.135.55,ebd42e7e-7a00-43ec-9ee0-c1b324828246,Linux,Firefox,0,AS13335,0,0,4,1,7.07,10.661,1.49,44.769,0,25,Sudden OS/Browser change during failed attempts
instabook,user0017,2025-08-20 08:24:00,182.71.216.120,c21202d1-ca1f-4b6c-9c2d-84bc9fceab17,Android,Edge,0,AS9498,1,0,3,1,37.12,5.478,0.15,42.307,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0378,2025-08-02 15:55:00,106.223.249.77,fca10017-38da-4eac-9ae3-341e6cffd4e2,Android,Safari,0,AS174,1,0,5,2,10.55,28.689,2.69,2.204,0,25,Suspicious IP / VPN detected
facegram,user0295,2025-08-01 08:33:00,115.119.238.190,cf62a44d-065b-49c4-bc92-bdd1f743d4fd,macOS,Firefox,0,AS9498,0,0,3,3,1.23,44.319,33.32,13.449,0,0,Normal: baseline behaviour (risk 0)
instabook,user0388,2025-08-12 12:46:00,49.63.101.167,42ffc95e-73c8-4cc7-bd29-c26d920559aa,Android,Firefox,0,AS9498,0,0,1,1,21.84,12.109,0.55,10.052,0,25,Sudden OS/Browser change during failed attempts
instabook,user0372,2025-08-24 10:16:00,117.233.158.5,f7779208-2dd7-44ae-bbea-5bd6c9482257,Android,Safari,1,AS13335,0,0,3,0,3.84,38.009,9.65,9.387,0,0,Normal: baseline behaviour (risk 0)
facegram,user0419,2025-08-15 07:42:00,115.108.204.240,e6599a9d-8b94-42a4-b79f-79d1ed8680f7,Windows 10,Edge,0,AS174,2,0,4,1,34.44,31.824,0.92,31.437,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0225,2025-08-16 22:42:00,182.77.121.136,3c9dfb9f-ba67-4176-89e6-b436f34c2adf,macOS,Safari,0,AS9498,1,0,4,1,41.0,2.191,0.05,25.653,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0102,2025-08-20 15:02:00,115.96.15.195,06c7faeb-c0e6-41ef-9419-ed8e30b7a9ec,iOS,Chrome,0,AS55836,0,0,5,3,47.25,5.302,0.11,3.089,0,25,Sudden OS/Browser change during failed attempts
facegram,user0089,2025-08-24 17:15:00,106.202.127.79,7c356fea-0938-4d1b-b2fb-b45adc93cfe1,Linux,Edge,0,AS3356,1,0,2,1,23.85,47.366,1.98,6.263,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0312,2025-08-26 16:36:00,115.100.38.126,a35ac58d-dc05-4b16-8d9e-c96701970571,Android,Chrome,0,AS174,0,0,6,2,24.58,12.906,0.52,43.415,0,45,Multiple devices detected; Sudden OS/Browser change during failed attempts
instabook,user0483,2025-08-10 01:39:00,182.74.159.229,c7ced799-9424-49a4-abe6-a7f3befa23e6,iOS,Chrome,0,AS9498,2,0,1,3,13.54,37.86,2.78,1.731,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0476,2025-08-16 01:45:00,106.227.135.135,f4d90c18-c576-4d69-92ea-613589f0305c,Windows 10,Firefox,0,AS174,2,0,1,2,7.35,7.728,1.04,5.006,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0186,2025-08-14 02:34:00,106.202.53.175,bae8c43c-de63-49e3-b2cc-9071e28ba49a,Linux,Edge,0,AS3356,1,0,5,2,37.06,36.787,0.99,41.834,0,55,Suspicious IP / VPN detected; Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0324,2025-08-19 08:17:00,49.53.190.199,5ee4e36b-53c0-4320-879b-b339df6336c4,iOS,Edge,0,AS9498,1,0,4,2,32.11,42.296,1.31,28.423,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0350,2025-08-04 21:54:00,182.69.157.74,9092cb7b-d278-4853-954c-f2cd187af29c,Linux,Chrome,0,AS9498,2,0,3,2,23.04,14.899,0.64,16.576,0,25,Suspicious IP / VPN detected
instabook,user0018,2025-08-19 06:21:00,117.199.74.162,583725ff-864c-4acb-ab68-c955f940e03d,Windows 11,Chrome,0,AS55836,0,0,3,2,18.31,20.806,1.13,20.956,0,25,Sudden OS/Browser change during failed attempts
